id,NUMPOINTS,Elev_mean,Popsum,CoverageMe,Restricted
5750,0,1.57199602780536,833,-85.20334562,1
5751,0,.821251241310824,422,-92.86612034,1
5752,0,.032108573320093,0,-112,1
5753,0,.159470636889992,0,-112,1
5757,0,.031777557100298,31,-112,1
5758,0,.098263027295285,39,-112,1
5762,0,11.365712394506,951,-102.9050426,1
5763,0,14.0893448047651,995,-103.630255,1
5764,0,16.1918280275681,982,-102.0141745,1
5765,0,19.0696558570483,1300,-100.7761702,1
5766,0,18.5102581072138,1689,-104.9176142,1
5767,0,18.297221303341,1592,-102.1656442,1
5768,0,14.5260912372826,1823,-104.9754892,1
5769,0,10.2538054268696,117,-108.1714246,1
5770,0,6.39044154126013,0,-107.5097132,1
5771,0,2.70724445914654,824,-91.09572949,1
5772,0,.533752481800132,607,-92.17931905,1
5778,0,1.46072432611212,1927,-102.5428678,1
5779,0,1.74793251736685,7335,-90.13095242,1
5780,0,.980150918635171,1565,-82.25486824,1
5781,0,.350859788359788,114,-92.49688547,1
5870,0,.174150787075394,92,-112,0
5871,0,1.12990886495443,923,-103.8322898,0
5874,0,.509437113746451,89,-112,1
5875,0,2.18074884029158,393,-111.4295394,1
5876,0,2.97199668599834,727,-105.488348,1
5897,0,5.54503311258278,98,-102.886682,1
5898,5,7.37992712818814,162,-91.97437953,1
5899,0,5.32278900298112,110,-104.6691935,1
5924,0,.267295597484277,22,-112,1
5925,0,.003310162197948,75,-112,1
5926,0,.040052962595167,81,-112,1
5927,0,.03923822032507,69,-112,1
5930,0,.650951199338296,0,-112,1
5931,0,.552283256121774,0,-112,1
5932,0,.233416046319272,0,-112,1
5934,0,1.65933705283886,512,-98.49981639,1
5935,0,1.24148197155144,1013,-98.2096065,1
5937,0,.431716603211389,0,-112,1
5940,0,.231211027239908,86,-112,1
5941,0,6.67648031756533,1105,-111.0574032,1
5942,0,3.49205561072493,1249,-108.1184849,1
5945,0,2.74101427868045,1211,-106.5373221,1
5946,3,14.0529275554085,5967,-100.6078071,1
5947,4,15.6620883667053,1999,-89.91056766,1
5948,0,16.2062520674826,3700,-99.38725996,1
5949,4,13.8469809760132,3125,-92.82726422,1
5950,0,14.4373871655999,1117,-100.2279545,0
5951,4,13.0271164021164,506,-100.767317,1
5952,0,18.522509102946,125,-104.8128616,0
5953,0,20.2712537214687,0,-104.7587216,0
5954,0,19.0583893718222,961,-104.5470021,0
5955,4,13.9128349321866,3278,-102.6225248,1
5956,0,12.3005129902366,2491,-105.4287747,0
5957,0,9.65729407872974,508,-107.02252,0
5958,0,8.48392388451444,602,-107.4319453,0
5959,0,7.14715608465608,941,-99.59045376,1
5960,5,6.61418885397718,1275,-90.55491628,1
5961,0,8.04794973544974,2275,-98.66592074,1
5962,4,11.8861735279646,9138,-90.73549361,1
5963,4,10.9756904250041,11881,-89.76658306,1
5964,4,8.31729497354497,2460,-91.11431297,1
5965,4,8.07577497129736,2114,-92.16507292,1
5966,0,7.42212301587302,3144,-97.50743479,1
5967,4,5.48073424838763,4495,-85.40016023,1
5968,5,2.39425758818704,1265,-86.61912839,1
5969,0,.229866049280635,434,-90.53587047,1
6052,0,.023363711681856,13,-112,1
6053,0,1.13951946975974,166,-111.2662649,0
6054,0,.1301152497077,0,-110.4299447,1
6056,0,.479125248508946,193,-112,1
6057,0,6.30467196819086,826,-106.7931513,1
6058,0,7.12955599734924,931,-98.86782644,1
6059,0,.951126573889993,121,-91.26660999,1
6080,4,7.61208609271523,5160,-92.42751018,1
6081,0,8.2964740936931,478,-105.5635885,1
6082,0,6.57069536423841,115,-105.8875327,1
6112,0,.003307972213033,0,-112,1
6113,0,.135139573070608,0,-112,0
6114,0,.099652375434531,11,-112,1
6115,0,17.304319046831,190,-106.1041288,1
6116,0,20.4343150231635,272,-105.9810353,1
6117,4,21.7155143896791,1155,-91.59883286,1
6118,0,10.6338237725244,264,-102.9266135,1
6119,0,4.98460519781493,242,-107.5705675,1
6120,0,2.10707833798653,120,-109.2189929,1
6121,0,.167466490153897,58,-105.0602898,1
6122,0,6.3478980470043,1031,-107.0519708,1
6123,0,11.1105967928583,1456,-105.0367602,1
6124,0,11.1899718682773,2053,-100.8724467,1
6125,0,7.65429462966004,11129,-96.35699118,1
6127,0,1.66048667439166,1117,-103.6176506,1
6128,0,11.5792693007109,2211,-100.4040566,1
6129,0,11.837497931491,2091,-99.79785539,1
6130,0,15.966201804758,2167,-97.71971362,1
6131,4,12.3097799106404,1146,-88.3980686,1
6132,0,14.7594643742767,657,-100.3367302,1
6133,2,16.0781198278716,652,-105.292696,1
6134,0,17.1820420223244,676,-97.94621098,0
6135,4,18.296626984127,636,-91.29472015,1
6136,0,21.232207878186,427,-101.214403,0
6137,4,19.0463269358041,1203,-100.3505347,1
6138,0,16.3763227513228,2213,-99.30673734,1
6139,0,16.6079396325459,815,-99.55395063,0
6140,0,15.1319880913,886,-97.14908397,0
6141,0,11.9917273328921,2090,-99.31423166,0
6142,0,10.8418978821212,1429,-93.92403751,1
6143,4,10.4039702233251,2611,-92.02836503,1
6144,4,11.1131326496857,2810,-91.51324922,1
6145,0,9.83824015878267,2634,-96.15840733,1
6146,4,11.1244254760341,3200,-93.269133,1
6147,2,9.06104218362283,1877,-98.60251371,1
6148,4,12.1105045492142,2423,-93.64193375,1
6149,0,11.6113572952569,5256,-94.22981187,1
6150,0,11.6930709442699,4920,-93.44775602,1
6151,4,13.5890229790048,6954,-88.79775247,1
6152,5,9.14566929133858,5861,-85.05815013,1
6153,5,7.21795931867042,4808,-89.01756652,1
6154,0,3.97139077228378,3901,-91.79350243,1
6155,0,1.30326390027883,2677,-89.34811248,1
6156,0,.036369647875682,281,-112,1
6161,4,2.58621821164889,8205,-86.45962118,1
6162,0,5.48421226649033,10701,-91.20554043,0
6163,6,2.38822751322751,3311,-96.71258431,1
6164,0,.105150918635171,376,-88.40751335,1
6236,0,.237613918806959,205,-97.39820503,1
6237,0,1.98856479946967,537,-96.18465499,1
6238,0,.131421942326815,0,-92.01883023,1
6240,0,1.61977948546609,274,-105.5337968,1
6241,0,6.27726218097448,980,-94.93765491,1
6242,5,6.44400265076209,1092,-87.93362246,1
6263,0,.511758860549851,375,-93.50550927,1
6264,0,9.41908232565844,1700,-98.86735157,1
6265,7,10.5356965380156,473,-93.55276581,1
6266,0,6.98675057966214,954,-103.5892485,1
6267,0,.291107799304521,110,-101.4402554,1
6291,0,.263366992219831,0,-112,0
6292,0,6.48054957788446,2,-112,0
6293,0,5.62502052208176,3,-112,0
6294,0,5.72558755379014,7,-112,0
6295,0,4.81721854304636,7,-112,0
6296,0,11.4568023833168,14,-112,0
6297,0,8.8531017369727,17,-110.0793522,0
6298,0,22.4399404367968,266,-103.601424,0
6299,0,22.4990901571547,332,-102.6693059,1
6300,0,30.8068648382329,303,-104.1508028,1
6301,0,34.777391592188,342,-105.2518306,1
6302,0,25.9083388484447,392,-102.0923044,1
6303,0,18.8332782004631,391,-103.3478275,1
6304,0,14.894719417315,208,-105.5755834,1
6305,0,13.2726671078756,847,-99.19979259,1
6306,0,13.2446232145789,1452,-104.1727009,1
6307,4,13.0296112489661,1457,-93.93111829,1
6308,0,14.0847541797716,6063,-94.45303098,1
6309,14,13.9899106847502,11876,-86.72774742,1
6310,4,9.05261416280609,6774,-96.25008687,1
6311,0,14.7304661851609,2968,-101.0812344,1
6312,4,13.656741108354,2910,-100.5784463,1
6313,0,14.6464262078094,2144,-104.8998154,1
6314,0,12.4511166253102,884,-100.6741027,1
6315,0,11.6876757650951,782,-98.03542748,1
6316,0,12.6723571897571,680,-106.4763081,1
6317,0,13.3240694789082,642,-104.6403819,0
6318,0,15.2033085194376,541,-95.3342426,0
6319,0,15.3242885506287,724,-98.85724053,1
6320,0,13.6589528967668,1264,-96.3055559,0
6321,0,15.793017868961,2596,-96.19135522,1
6322,5,12.5703654704812,1096,-90.2160649,1
6323,0,10.8982461945731,1619,-97.95697023,1
6324,4,11.9236829148203,1917,-89.02767754,1
6325,4,13.120264681555,1809,-91.75789996,1
6326,0,11.3745659004465,1607,-96.33589581,1
6327,0,11.0643400595435,2085,-98.78350005,0
6328,4,10.3542829012143,2774,-90.88930303,1
6329,0,13.1107987431784,2143,-95.76785445,1
6330,4,11.8107839894145,2066,-92.7508996,1
6331,0,12.2075812274368,2597,-90.42251905,0
6332,4,13.125372146874,6737,-86.85589681,1
6333,4,12.6108814288077,4224,-91.86148921,1
6334,5,12.8264150943396,2454,-90.32681658,1
6335,14,12.9260545905707,8311,-85.46853835,1
6336,4,13.9558531746032,5899,-87.21317719,1
6337,4,14.0656275635767,5989,-91.72145035,1
6338,4,13.558789482388,8063,-89.14196083,1
6339,8,12.6279761904762,13056,-84.00552869,1
6340,9,10.6273995077933,7769,-84.50556461,1
6341,11,5.70927732760046,3942,-85.24338852,1
6342,4,4.45114895023971,10715,-86.12287797,1
6343,18,5.45217391304348,15502,-83.77018664,1
6344,20,7.51496609889201,32872,-84.56302691,1
6345,8,11.2731481481481,17587,-90.06558355,1
6347,4,10.578373015873,1371,-97.17092852,1
6348,3,7.26074735449735,4000,-92.52075617,1
6349,4,3.23851706036745,2681,-85.33150559,1
6350,4,1.13607804232804,2071,-83.74926448,1
6356,74,2.57986111111111,3500,-71.40685006,1
6357,105,2.72265048384451,16009,-70.31996833,1
6358,2,.156224169284179,1551,-62.84486806,1
6416,0,.301739850869925,66,-106.0094916,1
6417,0,7.25252692626346,2547,-95.98996463,1
6418,0,5.36669428334714,1059,-95.98263492,1
6419,4,5.03264291632146,921,-90.69372727,1
6420,5,6.38790511192783,37,-88.23670658,1
6421,0,3.15755467196819,0,-102.5182134,1
6422,0,1.73111332007952,180,-107.8635527,1
6423,0,3.33051689860835,419,-104.7259338,1
6424,0,3.45526838966203,229,-100.7409161,1
6425,0,1.09012591119947,64,-100.0244157,1
6446,0,1.48526001987413,436,-105.0175767,1
6447,0,7.7430843134007,1096,-95.55170719,1
6448,4,8.85690626035111,999,-93.5386877,1
6449,0,9.12814569536424,2113,-96.19463143,1
6450,4,2.49751655629139,1718,-84.88116218,1
6470,0,1.40147783251231,1,-112,0
6471,0,4.74428997020854,2,-112,0
6472,0,6.27176431645151,2,-112,0
6473,0,6.82737504137703,3,-112,0
6474,0,12.896905510508,6,-112,0
6475,0,18.0562634453086,6,-112,0
6476,0,32.1304203905991,16,-112,0
6477,0,35.8088381330685,19,-112,0
6478,0,24.9940417080437,19,-112,0
6479,0,13.4914614121511,19,-110.6093482,0
6480,0,12.3404501820589,19,-104.4807439,0
6481,0,11.3104932141675,151,-93.74817408,1
6482,0,22.3867924528302,260,-94.28308767,0
6483,0,33.4222111883482,348,-104.0687707,0
6484,0,38.5978152929494,365,-101.0182592,0
6485,5,29.3497186362132,481,-90.62222132,1
6486,0,24.0628487036429,417,-101.7441758,0
6487,4,25.3323407775021,206,-93.24768764,1
6488,0,14.5479066688731,673,-94.04891438,1
6489,0,11.0201919894075,1085,-104.6774579,1
6490,0,11.9227460711332,1534,-103.4128156,1
6491,0,15.1427633738103,6207,-94.68310589,1
6492,4,18.1746110559417,5414,-93.92990221,1
6493,0,21.3174603174603,3417,-104.0238189,1
6494,2,26.0481628599801,964,-103.9396129,1
6495,0,24.7631883578634,2281,-107.1127667,1
6496,0,24.2244294861271,1221,-104.0894758,1
6497,0,20.1147676533818,856,-100.9836778,1
6498,0,13.998344918901,501,-105.561614,0
6499,0,13.3861418885398,466,-106.3160491,0
6500,0,12.1311125697407,516,-105.7295972,0
6501,0,15.6485189475426,734,-102.8499927,0
6502,0,12.7944775132275,762,-91.67116574,0
6503,4,17.3319001157599,1349,-92.40224913,1
6504,0,13.3438689392686,1798,-100.9019579,0
6505,0,13.0487524622456,1211,-100.2800387,1
6506,0,12.8362824541095,1670,-100.1755183,0
6507,0,12.9621362433862,1497,-101.788499,0
6508,0,14.7610300147614,930,-102.3329181,1
6509,0,11.4656084656085,1254,-100.3278525,1
